characters,clean_text
s w r k j m s n,swr k jm sn
s ꜣ i ̯ k j m s n,sꜣi̯ k jm sn
m ḥ š n b t k m m w r n p,mḥ šnbt k m mw rnp
m ḥ h n k m n w y t,mḥ hn k m nwyt
b ꜥ ḥ i ̯ ḥ t y t k j w k m N w n w r j t n ṯ r,bꜥḥi̯ ḥtyt k jw k m Nwn wr jt nṯr
j n i ̯ f n k m n ḫ t m p r Ḥ ꜥ p j s j ꜣ t n f r t m p r š p s t,jni̯ f n k mnḫt m pr Ḥꜥpj sjꜣt nfrt m pr špst
ḫ f ꜥ n k Ḥ ꜥ p j,ḫfꜥ n k Ḥꜥpj
ꜣ m n k ꜣ s t,ꜣm n k ꜣst
r w ḏ n k ꜥ n ḫ j m j m ẖ n w ꜥ k,rwḏ n k ꜥnḫ jmj m ẖnw ꜥ k
n f r ḏ r t k m n w d n W s j r m m n n p r i ̯ m G b t w,nfr ḏrt k m nwd n Wsjr m mnn pri̯ m Gbtw
š z p k ḥ z m n p r i ̯ m t ꜣ j n t s w ꜥ b p r i ̯ m N ḫ b,šzp k ḥzmn pri̯ m tꜣ jnt swꜥb pri̯ m Nḫb
j r i ̯ n k N ḫ b t z ꜣ s m j m n t,jri̯ n k Nḫbt zꜣ s m jmnt
s n f r ṱ k N j t n t j m ꜥ k,snfr ṱ k Njt ntj m ꜥ k
j w i ̯ n k Ḥ ꜥ p j,jwi̯ n k Ḥꜥpj
j r i ̯ f n k p y r s j ꜣ t m ḫ ꜣ w p r i ̯ m ḥ ꜣ t ḥ ꜥ p j,jri̯ f n k pyr sjꜣt m ḫꜣw pri̯ m ḥꜣt ḥꜥpj
s š n ꜣ s t s j ꜣ t k,sšn ꜣst sjꜣt k
m s n N b t ḥ w t p y r k,msn Nbt ḥwt pyr k
s ḫ t Ḥ ḏ ḥ t p m n ḫ t k,sḫt Ḥḏ ḥtp mnḫt k
s ḥ ḏ Ḥ r w ḥ b s k,sḥḏ Ḥrw ḥbs k
r ḏ i ̯ n k R ꜥ w n b w p r i ̯ m W s j r,rḏi̯ n k Rꜥw nbw pri̯ m Wsjr
š z p ḏ b ꜥ k f d t n Ḥ r w r ḏ w n ꜣ s t,šzp ḏbꜥ k fdt n Ḥrw rḏw n ꜣst
r ḏ i ̯ n k Ḏ ḥ w t j ḫ t m n n b w m n b w p r i ̯ m n ṯ r ꜥ ꜣ,rḏi̯ n k Ḏḥwtj ḫtm n nbw m nbw pri̯ m nṯr ꜥꜣ
š z p t w ḫ r w k m b ꜣ ḥ W s j r m ꜣ ꜥ ḫ r w k m b ꜣ ḥ n ꜣ m ꜣ ꜥ t,šzptw ḫrw k m bꜣḥ Wsjr mꜣꜥ ḫrw k m bꜣḥ nꜣ mꜣꜥt
w n n b ꜣ k ꜥ n ḫ r n ḥ ḥ m j s ꜣ ḥ m ẖ t n N w t,wnn bꜣ k ꜥnḫ r nḥḥ mj sꜣḥ m ẖt n Nwt
ẖ ꜣ t k m n t j ḏ t m j j n r n ḏ w,ẖꜣt k mntj ḏt mj jnr n ḏw
ḫ ꜥ i ̯ k m n b w,ḫꜥi̯ k m nbw
w b n k m ḏ ꜥ m,wbn k m ḏꜥm
s ḥ ḏ ḏ b ꜥ k m q t m t,sḥḏ ḏbꜥ k m qtmt
ꜥ š ꜣ n z w y t k m ẖ n w d w ꜣ t,ꜥšꜣ nzwyt k m ẖnw dwꜣt
ꜥ ꜣ i ̯ r n k m j m n t,ꜥꜣi̯ rn k m jmnt
j r i ̯ n k m r i ̯ k m t ꜣ n b m ꜣ ḫ š p s m ẖ r t n ṯ r,jri̯ n k mri̯ k m tꜣ nb m ꜣḫ šps m ẖrt nṯr
ḫ ꜥ i ̯ k m ꜥ r w,ḫꜥi̯ k m ꜥrw
w b n k m š ꜣ š ꜣ ꜥ w,wbn k m šꜣšꜣꜥw
f d q n k m n y t n n ṯ r ꜥ ꜣ r k m ꜣ b ḏ w,fdq n k mnyt n nṯr ꜥꜣ r k m ꜣbḏw
s ḥ b i ̯ ḥ ꜥ w k m r ḏ w f,sḥbi̯ ḥꜥw k m rḏw f
r ḏ i ̯ n k h y m ꜥ r w h n w m š ꜣ š ꜣ ꜥ w,rḏi̯ n k hy m ꜥrw hnw m šꜣšꜣꜥw
r ḏ i ̯ f n k t p r d m ꜥ r q ḥ ḥ r ṱ m p r n ḥ ḥ,rḏi̯ f n k tp rd m ꜥrq ḥḥ rṱ m pr nḥḥ
s ḏ m n k z ẖ ꜣ w m p r m ḏ ꜣ t w p t r ʾ ḥ s t m p r S k r,sḏm n k zẖꜣw m pr mḏꜣt wpt rʾ ḥst m pr Skr
j w i ̯ n k ꜣ s t ḥ n ꜥ N b t ḥ w t j w j r i ̯ s n n k r m w q m d m ẖ n w ḥ w t s r,jwi̯ n k ꜣst ḥnꜥ Nbt ḥwt jw jri̯ sn n k rmw qmd m ẖnw ḥwt sr
j n i ̯ n k Ḥ r w z ꜣ ꜣ s t s n b n ṯ r j z ꜣ t p j n n ṯ r n ṯ r t,jni̯ n k Ḥrw zꜣ ꜣst snb nṯrj zꜣ tpj n nṯr nṯrt
n ṯ r i ̯ f b ꜣ k m ẖ r t n ṯ r,nṯri̯ f bꜣ k m ẖrt nṯr
s n ḏ m f ḥ r k m ꜥ n ḫ ḏ d w ꜣ s,snḏm f ḥr k m ꜥnḫ ḏd wꜣs
j y n k W Ꜣ ḏ t m ẖ n w P j Ḥ r w m ẖ n w ꜣ ḫ b j t,jy n k WꜢḏt m ẖnw Pj Ḥrw m ẖnw ꜣḫ bjt
j n i ̯ t w n k w ḏ ꜣ n s n b z ꜣ n f r n Ḥ r w ḏ s f,jni̯tw n k wḏꜣ n snb zꜣ nfr n Ḥrw ḏs f
š s p s w ꜥ k,šsp sw ꜥ k
ḫ s f s w ḏ r t k,ḫsf sw ḏrt k
n ḏ r i ̯ s w ḏ b ꜥ k j m f,nḏri̯ sw ḏbꜥ k jm f
n n ḫ s f t w ḏ r t k r f,nn ḫsftw ḏrt k r f
n n š n ꜥ t w š m k r ḥ r w,nn šnꜥtw šm k r ḥrw
j r i ̯ k ḫ p r w k m b j k n ṯ r j,jri̯ k ḫprw k m bjk nṯrj
ḥ f d i ̯ k r p t m ḫ p r r š p s,ḥfdi̯ k r pt m ḫprr šps
n ḏ n k s ḫ n n b n p r k j w k m r ʾ n p ꜥ t r ḫ y t ḥ n m m t,nḏ n k sḫn nb n pr k jw k m rʾ n pꜥt rḫyt ḥnmmt
ḏ i ̯ s n k j ꜣ w r m ṯ t,ḏi̯ s n k jꜣw rmṯt
n ṯ r m j ꜣ w n ḥ r k,nṯr m jꜣw n ḥr k
n ṯ r t m n j n j n k ꜣ k,nṯrt m njnj n kꜣ k
ꜥ w t n b t n h s i ̯ s n r m ꜣ ꜣ k,ꜥwt nbt nhsi̯ sn r mꜣꜣ k
r m ꜣ p d n h p s n r d w ꜣ b ꜣ k,rm ꜣpd nhp sn r dwꜣ bꜣ k
s ꜥ ꜣ s š m k j m s n ḏ t,sꜥꜣ sšm k jm sn ḏt
ꜥ q z ꜣ n n ṯ r š m ꜥ w m ḥ w r k s p ꜣ t 3 6,ꜥq zꜣ n nṯr šmꜥw mḥw r k spꜣt 36
š m i ̯ k j m s n m b ꜣ j q r,šmi̯ k jm sn m bꜣ jqr
j r i ̯ k m r i ̯ k m ẖ n w p t j w k m ꜥ s b ꜣ b ꜣ k 3 6,jri̯ k mri̯ k m ẖnw pt jw k m ꜥ sbꜣ bꜣk 36
ḫ p r w k j m s n r ḏ i ̯ j b k,ḫprw k jm sn rḏi̯ jb k
j y n k j m y p r i ̯ m W s j r r ḏ w p r i ̯ m ꜥ r w,jy n k jmy pri̯ m Wsjr rḏw pri̯ m ꜥrw
s n ḏ m ḥ ꜥ w k m ḏ t f m k ꜣ t m n ḫ t m d w ꜣ t,snḏm ḥꜥw k m ḏt f m kꜣt mnḫt m dwꜣt
q n j t j n m k m q n j t w ꜥ b t r ḏ w R ꜥ w ḏ t,qnjt jnm k m qnjt wꜥbt rḏw Rꜥw ḏt
ḏ i ̯ f n k n b w r ḥ ꜥ w k j n m n f r r t p ꜥ t k,ḏi̯ f n k nbw r ḥꜥw k jnm nfr r tp ꜥt k
s w ꜣ ḏ n f j n m k m n b w,swꜣḏn f jnm k m nbw
q n i ̯ f ḥ ꜥ w k m ḏ ꜥ m j w k ꜥ n ḫ t j z p 2 r n ḥ ḥ j w k r n p i ̯ t j z p 2 r ḏ t,qni̯ f ḥꜥw k m ḏꜥm jw k ꜥnḫtj zp 2 r nḥḥ jw k rnpi̯tj zp 2 r ḏt
j r ḥ r s ꜣ n n j r i ̯ ḫ r t w k ꜣ t w t j m f j n m s Ḥ r w ḥ n ꜥ m s Ḫ n t j ꜥ ꜣ j t n t j ḥ r w n m j f j ꜣ b j f m m r ḥ t ḥ s q n t j j ḫ t n ṯ r m ḏ r t f w n m j m m r ḥ t š p s t m ḏ r t f j ꜣ b j,jr ḥr sꜣ nn jri̯ḫrtw kꜣt wt jm f jn ms Ḥrw ḥnꜥ ms Ḫntj ꜥꜣjt ntj ḥr wnmj f jꜣbj f m mrḥt ḥsq ntj jḫt nṯr m ḏrt f wnmj m mrḥt špst m ḏrt f jꜣbj
w t ḫ r t w ḏ b ꜥ f m j t j t,wtḫrtw ḏbꜥ f mjtjt
r ḏ i ̯ ꜥ n ḫ j m j ḥ s m n m n n 3 t m ẖ n w ḏ r t f w n m j,rḏi̯ ꜥnḫ jmj ḥsmn mnn 3t m ẖnw ḏrt f wnmj
d g ꜣ ḥ r m w n m s t n w,dgꜣ ḥr mw n mstnw
s w ꜥ b s j ꜣ t m r w t s n j w ꜣ s t N b t ḥ w t z ẖ ꜣ ḥ r s m r y t w ꜣ ḏ t ꜥ n t w m w n t ḫ w,swꜥb sjꜣt m rwt sn jw ꜣst Nbt ḥwt zẖꜣ ḥr s m ryt wꜣḏt ꜥntw mw n tḫw
r ḏ i ̯ s j ꜣ t j w t w t n R ꜥ w z ẖ ꜣ ḥ r s m q n j t w t n M n w m s t j ḥ r b j t z ẖ ꜣ ḥ r s j ꜣ t t n,rḏi̯ sjꜣt jw twt n Rꜥw zẖꜣ ḥr s m qnj twt n Mnw m stj ḥr bjt zẖꜣ ḥr sjꜣt tn
j r i ̯ n q ꜣ b 1 2 ḥ r s ꜣ m t n s n m r y t k m t m ḏ d ḫ f ꜥ n k š w ꜣ m m n k j ꜥ ḥ,jri̯ n qꜣb 12 ḥr sꜣ mtn sn m ryt kmt m ḏd ḫfꜥ n k šw ꜣmm n k jꜥḥ
r ḏ i ̯ m ẖ n w ḏ r t f w n m j,rḏi̯ m ẖnw ḏrt f wnmj
r ḏ i ̯ ḫ f ꜥ n f š w j ꜥ ḥ ḥ n ꜥ s n t f ꜣ s t N b t ḥ w t,rḏi̯ ḫfꜥ n f šw jꜥḥ ḥnꜥ snt f ꜣst Nbt ḥwt
n ḏ r i ̯ f j m s n m ꜥ f w n m j m j w n n f ḥ r t p t ꜣ,nḏri̯ f jm sn m ꜥ f wnmj mj wnn f ḥr tp tꜣ
z ẖ ꜣ w n n m m n ḫ t š p s t n t j Ḥ r w B ḥ d t j n ṯ r ꜥ ꜣ n b p t,zẖꜣw nn m mnḫt špst ntj Ḥrw Bḥdtj nṯr ꜥꜣ nb pt
r ḏ i ̯ t w p y r s j ꜣ t m ḏ r t f w n m j m m n ḫ t n t j Ḥ r w m r t j n b Š d n w M n w j ꜥ ḥ m J p w S p d w Ḥ r w n b j ꜣ b t ḏ r n t j n ṯ r p w n ḫ t ꜥ m m n ṯ r,rḏi̯tw pyr sjꜣt m ḏrt f wnmj m mnḫt ntj Ḥrw mrtj nb Šdnw Mnw jꜥḥ m Jpw Spdw Ḥrw nb jꜣbt ḏr ntj nṯr pw nḫt ꜥ m m nṯr
ḏ d m d w m ḫ t w r ḥ w t,ḏd mdw m ḫt wrḥ wt
j y n k m r ḥ t š p s t r s n f r ḥ ꜥ w k,jy n k mrḥt špst r snfr ḥꜥw k
š p s s ṱ k,šps s ṱ k
m r ḥ s ṱ k,mrḥ s ṱ k
j y n k m r ḥ t ḥ s q n j ḫ t n ṯ r,jy n k mrḥt ḥsq n jḫt nṯr
ḥ s q s ḥ ꜥ w k r q s k,ḥsq s ḥꜥw k r qs k
s m n s n p y r k ḥ r s t s n s j ꜣ t k r b w w n s n,smn sn pyr k ḥr st sn sjꜣt k r bw wn sn
j n m r ḥ t n f r t ḥ r s m n r ʾ n w t k ḥ r s n f r ḥ ꜥ w k m m r ḥ t,jn mrḥt nfrt ḥr smn rʾ n wt k ḥr snfr ḥꜥw k m mrḥt
m r ḥ s n r s n w,mrḥ sn r snw
s t w t s n q s k r t p ꜥ,stwt sn qs k r tp ꜥ
s m n ḫ s n j n m k,smnḫ sn jnm k
s w r s n r n k,swr sn rn k
j r i ̯ n k m r i ̯ k m t ꜣ n b j w k m Ḏ ḥ w t j,jri̯ n k mri̯ k m tꜣ nb jw k m Ḏḥwtj
n n w n ḫ f t j k,nn wn ḫftj k
š z p n k ꜥ n ḫ j m j n f r r ꜥ k,šzp n k ꜥnḫ jmj nfr r ꜥ k
w ꜥ b t w ḏ r t k,wꜥbtw ḏrt k
š z p n k m n n n f r s š m k,šzp n k mnn nfr sšm k
j r i ̯ t w n k t p r d n f r w q r s t n f r t n m s q n S t š ḫ f t j k r s n ḏ m j b k m m ꜥ ḥ ꜥ t k,jri̯tw n k tp rd nfrw qrst nfrt n msq n Stš ḫftj k r snḏm jb k m mꜥḥꜥt k
ḫ f ꜥ n k N b t ḥ w t m ꜥ k w n m j r s n f r j b k m m ꜣ ꜣ s n t k,ḫfꜥ n k Nbt ḥwt m ꜥ k wnmj r snfr jb k m mꜣꜣ snt k
r m i ̯ s ṱ k m Ḏ d w,rmi̯ s ṱ k m Ḏdw
s n t s ṱ k m ꜣ b ḏ w,snt s ṱ k m ꜣbḏw
j r i ̯ s n k d n j w t m ḥ r ḥ n ꜥ s n t s ꜣ s t,jri̯ s n k dnjwt mḥr ḥnꜥ snt s ꜣst
j r i ̯ s n n k r m i ̯ q m d,jri̯ sn n k rmi̯ qmd
š z p k r m w n ꜣ s t d n j w t n N b t ḥ w t,šzp k rmw n ꜣst dnjwt n Nbt ḥwt
r m i ̯ ꜣ m m n k R ꜥ w m š w s n f r m h r w,rmi̯ ꜣmm n k Rꜥw m šw snfr m hrw
ḫ f ꜥ n k j ꜥ ḥ m g r ḥ,ḫfꜥ n k jꜥḥ m grḥ
ḫ ꜥ i ̯ k m h r w m j š w n f r n R ꜥ w w b n r t ꜣ n b,ḫꜥi̯ k m hrw mj šw nfr n Rꜥw wbn r tꜣ nb
w b n m g r ḥ m j ꜥ ḥ n f r m S m d t r s ḫ p r w n w m ḫ t s t w t,wbn m grḥ m jꜥḥ nfr m Smdt r sḫpr wnw m ḫt stwt
p s ḏ k m ḥ r t m s b ꜣ w ꜥ t j j w k m s ꜣ ḥ m ẖ t N w t,psḏ k m ḥrt m sbꜣ wꜥtj jw k m sꜣḥ m ẖt Nwt
ḥ ḏ ḏ w t k m ẖ n w t ꜣ p n m j j ꜥ ḥ m ḥ w ḏ ꜣ t,ḥḏḏwt k m ẖnw tꜣ pn mj jꜥḥ mḥ wḏꜣt
ꜣ s t ḥ n ꜥ k m S p d t m p t,ꜣst ḥnꜥ k m Spdt m pt
n n ḥ r i ̯ s r k ḏ t,nn ḥri̯ s r k ḏt
j y n k q n j p r i ̯ m R ꜥ w b j t p r i ̯ m j r t f s t j n f r p r i ̯ m T f n t,jy n k qnj pri̯ m Rꜥw bjt pri̯ m jrt f stj nfr pri̯ m Tfnt
s n f r s n ḥ ꜥ w k r ꜥ w n b,snfr sn ḥꜥw k rꜥw nb
s w s ḫ s n n m t t k m w ꜣ t r s j,swsḫ sn nmtt k m wꜣt rsj
w ḏ s n ḏ t k m w ꜣ t m ḥ t j,wḏ sn ḏt k m wꜣt mḥtj
j r i ̯ s n s t k m w ꜣ t j m n t j,jri̯ sn st k m wꜣt jmntj
p r k m n m w ꜣ t j ꜣ b t j j w k m q n w m n w n b,pr k mn m wꜣt jꜣbtj jw k m qnw m nw nb
j y n k r y t p r i ̯ m S t š s n f n s b j r k,jy n k ryt pri̯ m Stš snf n sbj r k
n f r j b k m s m ꜣ ḫ f t j k,nfr jb k m smꜣ ḫftj k
j r i ̯ n k š ꜥ t m w ꜣ j m k,jri̯ n k šꜥt m wꜣ jm k
d m t w r n k m ꜥ n ḫ w ḏ ꜣ s n b,dmtw rn k m ꜥnḫ wḏꜣ snb
s n s n ḫ r w k r m ꜣ ꜥ t j,snsn ḫrw k r mꜣꜥtj
w b n k m s t š s r s,wbn k m st šsr s
ḏ d t w r k m ẖ n w d w ꜣ t,ḏdtw r k m ẖnw dwꜣt
n t k n ṯ r m ꜣ ḫ,ntk nṯr m ꜣḫ
n t k p w t w t n W s j r s n n n f r n J n p w,ntk pw twt n Wsjr snn nfr n Jnpw
j w k ḥ r s t k n t j m m ꜣ ꜥ ḫ r w j w r n k m n m ẖ n w ẖ r t n ṯ r ḏ t n ḥ ḥ m j W s j r n ṯ r ꜥ ꜣ ḫ n t j p r w r,jw k ḥr st k ntj m mꜣꜥ ḫrw jw rn k mn m ẖnw ẖrt nṯr ḏt nḥḥ mj Wsjr nṯr ꜥꜣ ḫntj pr wr
j r ḥ r s ꜣ n n j r i ̯ k ꜣ t m q b f m w n m j j ꜣ b j,jr ḥr sꜣ nn jri̯ kꜣt m qb f m wnmj jꜣbj
r ḏ i ̯ s n ḥ r s n r r d f j n ḫ t m w n ṯ r ḥ n ꜥ m s Ḥ r w m s Ḫ n t j ꜥ ꜣ j t,rḏi̯ sn ḥr sn r rd f jn ḫtmw nṯr ḥnꜥ ms Ḥrw ms Ḫntj ꜥꜣjt
w r ḥ ḫ r t w ṯ b w t f s ḏ ḥ f m n t f m m r ḥ t ꜥ ꜣ t s k m,wrḥḫrtw ṯbwt f sḏḥ f mnt f m mrḥt ꜥꜣt skm
w r ḥ m w ḥ m m m r ḥ t š p s t,wrḥ m wḥm m mrḥt špst
w t ḫ r t w ḏ b ꜥ m r d f m p y r,wtḫrtw ḏbꜥ m rd f m pyr
z ẖ ꜣ ḫ r t w s ꜣ b 2 ḥ r s j ꜣ t 2 j w ḥ r n w ꜥ r w ꜥ j m s n ḥ r m n ḫ t n J n p w n b Ḥ r w d y ḥ n ꜥ m n ḫ t n Ḥ r w n b Ḥ b n w m r y t ḥ r m w n ꜥ n t w,zẖꜣḫrtw sꜣb 2 ḥr sjꜣt 2 jw ḥr n wꜥ r wꜥ jm sn ḥr mnḫt n Jnpw nb Ḥrw dy ḥnꜥ mnḫt n Ḥrw nb Ḥbnw m ryt ḥr mw n ꜥntw
r ḏ i ̯ J n p w ḥ r r d f w n m j Ḥ r w ḥ r r d f j ꜣ b j,rḏi̯ Jnpw ḥr rd f wnmj Ḥrw ḥr rd f jꜣbj
w t m p y r m š s n z w m m n ḫ t j p t n,wt m pyr m šs nzw m mnḫt jptn
r ḏ i ̯ ꜥ n ḫ j m j ḥ s m n m n n 4 r ꜥ r q n t j r d f,rḏi̯ ꜥnḫ jmj ḥsmn mnn 4 r ꜥrq ntj rd f
d g ꜣ ḥ r m w n q m y n h b n j 3 r r d f w n m j 3 r r d f j ꜣ b j,dgꜣ ḥr mw n qmy n hbnj 3 r rd f wnmj 3 r rd f jꜣbj
r ḏ i ̯ ḫ r t w s b n n ṯ r j j r i ̯ m ṯ z t 1 2 r r d f w n m j h r t n n w t n n t y j r i ̯ m ṯ z t 1 2 r r d f j ꜣ b j,rḏi̯ḫrtw sbn nṯrj jri̯ m ṯzt 12 r rd f wnmj hrt n nwt n nty jri̯ m ṯzt 12 r rd f jꜣbj
w r ḥ m m r ḥ t š p s t,wrḥ m mrḥt špst
ḏ d m d w m ḫ t n n,ḏd mdw m ḫt nn
h ꜣ w s j r j t n ṯ r ḥ m n ṯ r n J m n R ꜥ w n z w n ṯ r ḥ r j s š t ꜣ w ꜥ b n ṯ r,hꜣ wsjr jt nṯr ḥm nṯr n Jmn Rꜥw nzw nṯr ḥrj sštꜣ wꜥb nṯr
j y n k m r ḥ t š p s t r s n f r š m k,jy n k mrḥt špst r snfr šm k
j y n k m r ḥ t n s k m r s r ꜥ n ḫ k m t ꜣ n b,jy n k mrḥt n skm r sr ꜥnḫ k m tꜣ nb
w r š m k ḥ r t p t ꜣ,wr šm k ḥr tp tꜣ
ꜥ ꜣ n m t t k m r ʾ p r,ꜥꜣ nmtt k m rʾ pr
š m i ̯ k b j w i ̯ k m ẖ n w d w ꜣ t,šmi̯ k bjwi̯ k m ẖnw dwꜣt
p r i ̯ k s n s n k m ẖ n w ꜣ b ḏ w,pri̯ k snsn k m ẖnw ꜣbḏw
ꜥ q m n ḫ t n n ṯ r r ꜥ k ḥ b s ꜥ ꜣ n n ṯ r t r ḥ ꜥ w k,ꜥq mnḫt n nṯr r ꜥ k ḥbs ꜥꜣ n nṯrt r ḥꜥw k
n ḫ t ꜥ k,nḫt ꜥ k
w r r d k,wr rd k
j y n k z p 2 w s j r j t n ṯ r,jy n k zp 2 wsjr jt nṯr
j y n k Ḥ r w B ḥ d t j n ṯ r ꜥ ꜣ n b p t n b m s n n ṯ r ꜥ ꜣ m n ḫ m W ṯ s Ḥ r w,jy n k Ḥrw Bḥdtj nṯr ꜥꜣ nb pt nb msn nṯr ꜥꜣ mnḫ m Wṯs Ḥrw
ḏ i ̯ f n k m n ḫ t m ẖ n w m ẖ n w Ḏ b ꜣ š m n f r m B ḥ d t,ḏi̯ f n k mnḫt m ẖnw m ẖnw Ḏbꜣ šm nfr m Bḥdt
ꜥ q k r B ḥ d t m ꜣ ḫ t,ꜥq k r Bḥdt m ꜣḫt
s m ꜣ n k j ḫ t ḥ n ꜥ m s R ꜥ w,smꜣ n k jḫt ḥnꜥ ms Rꜥw
ḏ i ̯ f n k ꜥ n ḫ n B ḥ d t j š d š p s r g s R ꜥ w m ꜣ ḫ t n ḥ ḥ,ḏi̯ f n k ꜥnḫ n Bḥdt jšd šps r gs Rꜥw m ꜣḫt nḥḥ
r ḏ i ̯ f n k p ꜣ w t ḥ r d b y t m ẖ n w B ḥ d t ḥ r ḥ t p n t j m s R ꜥ w,rḏi̯ f n k pꜣwt ḥr dbyt m ẖnw Bḥdt ḥr ḥtp ntj ms Rꜥw
j y n k Ḥ r w m r t j n b Š d n w n ṯ r ꜥ ꜣ w r m w P q r,jy n k Ḥrw mrtj nb Šdnw nṯr ꜥꜣ wr m w Pqr
w š d k n ṯ r ꜥ ꜣ m Š d n w,wšd k nṯr ꜥꜣ m Šdnw
p r i ̯ k ḥ r n š m t ḥ n ꜥ f,pri̯ k ḥr nšmt ḥnꜥ f
s ḫ r f ḫ f t j k,sḫr f ḫftj k
ḏ i ̯ f m ꜥ b ꜣ f m j y m N w n,ḏi̯ f mꜥbꜣ f m jy m Nwn
Ḥ r w B ḥ d t ḥ n ꜥ f m m s n w n f r r s ḫ r ḫ f t j k m N w n,Ḥrw Bḥdt ḥnꜥ f m msnw nfr r sḫr ḫftj k m Nwn
j y n k M n w n b J p w n ṯ r ꜥ ꜣ ḫ n t j S n w t,jy n k Mnw nb Jpw nṯr ꜥꜣ ḫntj Snwt
ḏ i ̯ f n k ḫ ꜥ w n R ꜥ w ḥ r j ꜣ b t w b n w j ꜥ ḥ ḥ r j m n t,ḏi̯ f n k ḫꜥw n Rꜥw ḥr jꜣbt wbnw jꜥḥ ḥr jmnt
r ḏ i ̯ f n k m n ḫ t m ḥ w t j ꜥ ḥ m š ṯ m ḥ b s n s n ḏ t,rḏi̯ f n k mnḫt m ḥwt jꜥḥ m šṯ m ḥbs n snḏt
r ḏ i ̯ f n k š s m n h m d r m h ꜣ y w ꜣ ḏ y j d m j m ḫ t w M n w,rḏi̯ f n k šs m nhm dr m hꜣy wꜣḏy jdmj m ḫtw Mnw
Ḥ r w n b ꜥ n ḫ ḥ r j r i ̯ n k m k t,Ḥrw nb ꜥnḫ ḥr jri̯ n k mkt
Ḥ r w n ḏ ḥ r j t f ḥ r ḫ w i ̯ t k,Ḥrw nḏ ḥr jt f ḥr ḫwi̯t k
s t i ̯ n k m w m ẖ n w ḫ t w M n w ḥ r ḥ t p n t j s n ḏ m j b k ꜥ n ḫ š p s ḥ r j š d n R ꜥ w w ꜣ ḥ b ꜣ n W s j r ḥ r f,sti̯ n k mw m ẖnw ḫtw Mnw ḥr ḥtp ntj snḏm jb k ꜥnḫ šps ḥr jšd n Rꜥw wꜣḥ bꜣ n Wsjr ḥr f
j y n k z p 2 w s j r j t n ṯ r,jy n k zp 2 wsjr jt nṯr
j y n k S p d w n b j ꜣ b t n b š ꜥ t m ḥ w t n b s,jy n k Spdw nb jꜣbt nb šꜥt m ḥwt nbs
ḏ i ̯ f n k š m n f r ḥ r ḫ ꜣ s t j ꜣ b t j m j ḫ n t j j m n t j w ḥ b n f r ḥ r ḫ ꜣ s t j m n t j m j n t j m ꜣ ꜥ ḫ r w,ḏi̯ f n k šm nfr ḥr ḫꜣst jꜣbtj mj ḫntj jmntjw ḥb nfr ḥr ḫꜣst jmntj mj ntj mꜣꜥ ḫrw
w b n R ꜥ w r k m ẖ n w k ꜣ r f,wbn Rꜥw r k m ẖnw kꜣr f
j r i ̯ f j s š p f m s t w t f,jri̯ f jsšp f m stwt f
m n ḫ t r k n n ṯ r n ṯ r t,mnḫt r k n nṯr nṯrt
ḥ b s r k n n ṯ r q n w m j j r i ̯ n W s j r n Ḥ r w ḏ s f,ḥbs r k n nṯr qnw mj jri̯ n Wsjr n Ḥrw ḏs f
j y n k z p 2 w s j r j t n ṯ r,jy n k zp 2 wsjr jt nṯr
j y n k J n p w n b Ḥ r w d y n ṯ r ꜥ ꜣ ḫ n t j,jy n k Jnpw nb Ḥrw dy nṯr ꜥꜣ ḫntj
j r i ̯ f n k k ꜣ t m ḫ t m w n ṯ r,jri̯ f n k kꜣt m ḫtmw nṯr
s m n ḫ f š m k m m n ḫ t f,smnḫ f šm k m mnḫt f
w r r n k m s p ꜣ t n W s j r m r ʾ p r n w Ḥ r w,wr rn k m spꜣt n Wsjr m rʾ pr nw Ḥrw
ḏ i ̯ f n k q n m Ḥ r w d y š m n f r ḥ r ḫ ꜣ s t j m n t j ꜣ b t,ḏi̯ f n k qn m Ḥrw dy šm nfr ḥr ḫꜣst jmnt jꜣbt
s t w t f q s k m p y r,stwt f qs k m pyr
s t r f j w f k m m n ḫ t k,str f jwf k m mnḫt k
j y n k Ḥ r w n b H b n w n ṯ r ꜥ ꜣ ḫ n t j M ḥ,jy n k Ḥrw nb Hbnw nṯr ꜥꜣ ḫntj Mḥ
j n i ̯ f n k m n ḫ t m ẖ n w M ḥ š ṯ m ẖ n w H b n w s j ꜣ t p y r m Ḏ b ꜣ n ṯ r,jni̯ f n k mnḫt m ẖnw Mḥ šṯ m ẖnw Hbnw sjꜣt pyr m Ḏbꜣ nṯr
r ḏ i ̯ f n k ḥ b s n ꜥ ḥ ꜣ q r s m ẖ n n w j w k m ꜥ ḥ ꜣ w t j q n m j m n t,rḏi̯ f n k ḥbs n ꜥḥꜣ qrs m ẖnnw jw k m ꜥḥꜣwtj qn m jmnt
š m i ̯ k r s m j m b ꜣ ḥ W s j r,šmi̯ k r smj m bꜣḥ Wsjr
ṯ t f n k s b j k,ṯtf n k sbj k
n n j y s n r k ḏ t,nn jy sn r k ḏt
j y n k z p 2 w s j r j t n ṯ r,jy n k zp 2 wsjr jt nṯr
